timestamp_gmt,bid_size,bid,ask,ask_size
2020-04-28 08:30:29,25150,7687.00000000,7687.50000000,22210
2020-04-28 08:30:39,100,7687.00000000,7687.50000000,44210
2020-04-28 08:30:49,150,7687.00000000,7687.50000000,65180
2020-04-28 08:30:59,140,7687.00000000,7687.50000000,65780
2020-04-28 08:31:09,140,7687.00000000,7687.50000000,40780
2020-04-28 08:31:19,140,7687.00000000,7687.50000000,44180
2020-04-28 08:31:29,140,7687.00000000,7687.50000000,54480
2020-04-28 08:31:39,140,7687.00000000,7687.50000000,50380
2020-04-28 08:31:49,140,7687.00000000,7687.50000000,53080
2020-04-28 08:31:59,140,7687.00000000,7687.50000000,53080
2020-04-28 08:32:09,7170,7687.00000000,7687.50000000,40310
2020-04-28 08:32:19,23070,7687.00000000,7687.50000000,33810
2020-04-28 08:32:29,19840,7687.00000000,7687.50000000,33880
2020-04-28 08:32:39,15740,7687.00000000,7687.50000000,36380
2020-04-28 08:32:49,10340,7687.00000000,7687.50000000,36380
2020-04-28 08:32:59,14440,7687.00000000,7687.50000000,36380
2020-04-28 08:33:09,16940,7687.00000000,7687.50000000,18510
2020-04-28 08:33:19,24340,7687.00000000,7687.50000000,5710
2020-04-28 08:33:29,21170,7692.50000000,7693.00000000,48910
2020-04-28 08:33:39,15470,7692.50000000,7693.00000000,49900
2020-04-28 08:33:49,10070,7692.50000000,7693.00000000,30300
2020-04-28 08:33:59,3070,7692.50000000,7693.00000000,35900
2020-04-28 08:34:09,62220,7694.00000000,7694.50000000,1580
2020-04-28 08:34:19,28150,7694.00000000,7694.50000000,21210
2020-04-28 08:34:29,16150,7694.00000000,7694.50000000,29110
2020-04-28 08:34:39,21060,7694.00000000,7694.50000000,29610
2020-04-28 08:34:49,15760,7694.00000000,7694.50000000,33010
2020-04-28 08:34:59,13360,7694.00000000,7694.50000000,33010
2020-04-28 08:35:09,12460,7694.00000000,7694.50000000,32010
2020-04-28 08:35:19,14330,7694.00000000,7694.50000000,32580
2020-04-28 08:35:29,750,7692.50000000,7693.00000000,90820
2020-04-28 08:35:39,70,7692.50000000,7693.00000000,78860
2020-04-28 08:35:49,760,7692.50000000,7693.00000000,78790
2020-04-28 08:35:59,910,7692.50000000,7693.00000000,78790
2020-04-28 08:36:09,2610,7692.50000000,7693.00000000,45090
2020-04-28 08:36:19,210,7692.50000000,7693.00000000,51790
2020-04-28 08:36:29,60,7692.50000000,7693.00000000,51790
2020-04-28 08:36:39,130,7692.50000000,7693.00000000,55260
2020-04-28 08:36:49,14090,7692.50000000,7693.00000000,17060
2020-04-28 08:36:59,27590,7692.50000000,7693.00000000,14770
2020-04-28 08:37:09,17290,7692.50000000,7693.00000000,23570
